rank,release_date,title,production_budget,worlwide_gross,domestic_gross
5293,08/02/15,The Birth of a Nation,110000,11000000,10000000
5140,05/09/16,Intolerance,385907,0,0
5230,12/24/1916,20000 Leagues Under the Sea,200000,8000000,8000000
5299,9/17/1920,Over the Hill to the Poorhouse,100000,3000000,3000000
5222,01/01/25,The Big Parade,245000,22000000,11000000
4250,12/30/1925,Ben-Hur,3900000,9000000,9000000
4630,12/08/27,Wings,2000000,0,0
5141,01/02/29,The Broadway Melody,379000,4358000,2800000
4240,01/01/30,Hell's Angels,4000000,0,0
5043,12/31/1931,Mata Hari,558000,900000,900000
5017,07/04/33,King Kong,672000,10000650,10000000
5234,09/02/33,She Done Him Wrong,200000,2000000,2000000
5120,09/03/33,42nd Street,439000,2281000,1438000
5154,01/01/34,It Happened One Night,325000,2500000,2500000
5025,06/09/35,Top Hat,609000,3202000,1782000
4738,05/02/36,Modern Times,1500000,165049,163245
4768,6/26/1936,San Francisco,1300000,5273000,2868000
4814,10/20/1936,Charge of the Light Brigade The,1200000,0,0
4756,12/21/1937,Snow White and the Seven Dwarfs,1488000,184925485,184925485
4570,01/01/38,Alexander's Ragtime Band,2000000,4000000,4000000
4693,01/01/38,You Can't Take It With You,1644000,4000000,4000000
4712,01/01/39,Mr. Smith Goes To Washington,1500000,9000000,9000000
4447,8/25/1939,The Wizard of Oz,2777000,33754967,33711566
4248,12/15/1939,Gone with the Wind,3900000,390525192,198680470
4556,01/01/40,Boom Town,2000000,9172000,9172000
4783,01/01/40,Rebecca,1288000,6000000,6000000
4524,11/13/1940,Fantasia,2280000,83320000,83320000
4789,10/28/1941,How Green Was My Valley,1250000,0,0
4969,8/13/1942,Bambi,858000,268000000,102797000
5283,11/16/1942,Cat People,134000,8000000,4000000
4839,1/23/1943,Casablanca,1039000,10462500,10462500
4457,12/24/1943,A Guy Named Joe,2627000,5363000,5363000
4515,01/01/44,Bathing Beauty,2361000,3500000,3500000
3949,01/08/44,Wilson,5200000,2000000,2000000
4530,01/01/45,The Valley of Decision,2160000,9132000,9132000
4785,01/01/45,The Lost Weekend,1250000,11000000,11000000
4716,10/31/1945,Spellbound,1500000,7000000,7000000
4327,01/01/46,It's a Wonderful Life,3180000,9576159,6600000
4545,01/01/46,Notorious,2000000,24464742,24464742
4533,11/21/1946,The Best Years of Our Lives,2100000,23600000,23600000
3845,12/31/1946,Duel in the Sun,6000000,20400000,20400000
4557,01/01/47,Gentleman's Agreement,2000000,7800000,7800000
4260,01/01/48,The Pirate,3700000,2956000,2956000
4361,01/01/48,Red River,3000000,9012000,9012000
4695,01/01/49,She Wore a Yellow Ribbon,1600000,5400000,5400000
4857,01/01/49,Sands of Iwo Jima,1000000,7800000,7800000
4434,2/15/1950,Cinderella,2900000,263591415,85000000
4255,5/17/1950,Annie Get Your Gun,3768785,8000000,8000000
3593,2/23/1951,Quo Vadis?,8250000,30022000,30000000
4797,03/07/51,Strangers on a Train,1200000,7000000,7000000
4419,7/28/1951,Alice in Wonderland,3000000,0,0
4666,9/18/1951,A Streetcar Named Desire,1800000,8000000,8000000
4517,9/24/1951,Show Boat,2300000,11000000,11000000
5009,01/01/52,High Noon,730000,8000000,8000000
4166,10/01/52,The Greatest Show on Earth,4000000,36000000,36000000
4468,10/04/52,Singin' in the Rain,2540000,7200000,7200000
4788,1/21/1953,Niagara,1250000,2500000,2500000
4162,05/02/53,Peter Pan,4000000,87400000,87400000
4692,05/08/53,From Here to Eternity,1650000,30500000,30500000
5227,6/13/1953,The Beast from 20000 Fathoms,210000,5000000,5000000
3969,9/16/1953,The Robe,5000000,36000000,36000000
5018,10/04/53,House of Wax,658000,23800000,23800000
3999,01/01/54,The Egyptian,5000000,15000000,15000000
4959,7/28/1954,On the Waterfront,910000,9600000,9600000
3973,12/23/1954,20000 Leagues Under the Sea,5000000,28200000,28200000
4798,03/10/55,The Trouble With Harry,1200000,7000000,7000000
4705,12/31/1955,The King’s Thief,1577000,0,0
3853,01/01/56,War and Peace,6000000,12500000,12500000
4119,01/01/56,Moby Dick,4500000,10400000,10400000
4177,01/01/56,Trapeze,4000000,14400000,14400000
4856,01/01/56,Love Me Tender,1000000,9000000,9000000
4310,2/16/1956,Carousel,3380000,3220,0
3020,05/10/56,The Ten Commandments,13500000,80000000,80000000
3835,10/17/1956,Around the World in 80 Days,6000000,42000000,42000000
5067,11/19/1956,Shichinin no samurai,500000,271736,271736
4455,12/01/56,Diane,2660000,0,0
4804,12/23/1956,The Wrong Man,1200000,2000000,2000000
4015,01/01/57,A Farewell To Arms,5000000,11014685,11000000
5152,4/13/1957,12 Angry Men,340000,0,0
4337,12/18/1957,The Bridge on the River Kwai,3000000,33300000,33300000
4348,9/20/1958,Cat on a Hot Tin Roof,3000000,17570324,17570324
4016,01/01/59,Solomon and Sheba,5000000,11000000,11000000
4274,01/01/59,The Nun's Story,3500000,12800000,12800000
4440,3/29/1959,Some Like it Hot,2883848,25000000,25000000
2802,11/18/1959,Ben-Hur,15000000,73000000,73000000
4171,01/01/60,Exodus,4000000,21750000,21750000
4347,01/01/60,The Apartment,3000000,24600000,18600000
4357,01/01/60,Elmer Gantry,3000000,10400000,10400000
3151,07/10/60,Spartacus,12000000,60000000,30000000
3185,10/24/1960,The Alamo,12000000,7900000,7900000
4189,01/01/61,The Misfits,4000000,8200000,8200000
4359,01/01/61,Judgment at Nuremberg,3000000,10000000,10000000
4436,01/01/61,Pocketful of Miracles,2900000,5000000,5000000
4558,9/25/1961,The Hustler,2000000,7600000,7600000
3834,10/18/1961,West Side Story,6000000,43700000,43700000
4322,01/01/62,The Man Who Shot Liberty Valance,3200000,8000000,8000000
4555,01/01/62,Lolita,2000000,9250000,9250000
3320,04/10/62,The Longest Day,10000000,50100000,39100000
2546,08/11/62,Mutiny on The Bounty,19000000,13680000,13680000
4122,09/03/62,State Fair,4500000,3500000,3500000
2827,12/16/1962,Lawrence of Arabia,15000000,69995385,37495385
4550,12/25/1962,To Kill A Mockingbird,2000000,13129846,13129846
2698,01/01/63,55 Days at Peking,17000000,10000000,10000000
4454,01/01/63,Donovan's Reef,2686000,6600000,6600000
4478,5/29/1963,Hud,2500000,10000000,10000000
4842,07/10/63,Tom Jones,1000000,37600000,37600000
3501,07/11/63,It's a Mad Mad Mad Mad World,9400000,60000000,46300000
4849,08/05/63,Dr. No,1000000,59567035,16067035
4181,08/08/63,The Great Escape,4000000,11744471,11744471
1253,12/06/63,Cleopatra,42000000,71000000,57000000
2552,01/01/64,The Fall of the Roman Empire,19000000,4750000,4750000
4664,1/29/1964,Dr. Strangelove,1800000,9164370,9164370
4543,08/04/64,From Russia With Love,2000000,78900000,24800000
3832,8/26/1964,Mary Poppins,6000000,102300000,102300000
2670,10/22/1964,My Fair Lady,17000000,72070955,72000000
5040,11/08/64,A Hard Day's Night,560000,1597233,1537860
4334,12/22/1964,Goldfinger,3000000,124900000,51100000
3594,02/03/65,The Sound of Music,8200000,286214286,163214286
2425,2/15/1965,The Greatest Story Ever Told,20000000,15473333,15473333
3907,07/03/65,The Train,5800000,6800000,6800000
4254,07/04/65,Major Dundee,3800000,14873,14873
3241,12/22/1965,Doctor Zhivago,11000000,111859493,111721000
3514,12/29/1965,Thunderball,9000000,141200000,63600000
4276,2/23/1966,Harper,3500000,12000000,12000000
4354,7/16/1966,Torn Curtain,3000000,13000000,13000000
2831,10/10/66,Hawaii,15000000,34562222,34562222
4249,12/12/66,A Man for All Seasons,3900000,28350000,28350000
4273,01/01/67,In Cold Blood,3500000,13007551,13000000
5232,1/18/1967,Per un pugno di dollari,200000,3500000,3500000
4546,02/08/67,In the Heat of the Night,2000000,24391108,24379978
3159,4/28/1967,Casino Royale,12000000,41744718,22744718
3496,6/13/1967,You Only Live Twice,9500000,111600000,43100000
5029,10/05/67,Per qualche dollaro in più,600000,4300000,4300000
4799,12/29/1967,Il buono il brutto il cattivo,1200000,6100000,6100000
4757,01/01/68,Shalako,1455000,2620000,2620000
5292,01/10/68,Night of the Living Dead,114000,30000000,12000000
3295,02/04/68,2001: A Space Odyssey,10500000,68700000,56700000
4667,03/08/68,Hang 'em High,1800000,6800000,6800000
5008,6/25/1968,La mariée était en noir ,747000,44566,44566
3906,08/02/68,The Planet of the Apes,5800000,33395426,33395426
3559,10/10/68,Barbarella,9000000,0,0
3323,11/12/68,Oliver!,10000000,37402877,37402877
4321,12/06/68,Rosemary's Baby,3200000,33395426,33395426
2465,01/01/69,Sweet Charity,20000000,8000000,8000000
4263,5/25/1969,Midnight Cowboy,3600000,44785053,44785053
4032,5/28/1969,C'era una volta il West,5000000,5321508,5321508
3883,6/18/1969,The Wild Bunch,6000000,509424,509424
5228,7/25/1969,The Stewardesses,200000,25000000,13500000
2375,10/15/1969,Paint Your Wagon,20000000,31678778,31678778
3831,10/24/1969,Butch Cassidy and the Sundance Kid,6000000,102308900,102308900
2175,12/16/1969,Hello Dolly,24000000,33208099,33208099
3613,12/18/1969,On Her Majesty's Secret Service,8000000,82000000,22800000
4195,12/19/1969,Topaz,4000000,6000000,6000000
2159,01/01/70,Waterloo,25000000,0,0
2270,01/01/70,Darling Lili,22000000,5000000,5000000
3136,01/01/70,Patton,12000000,62500000,62500000
3277,01/01/70,The Molly Maguires,11000000,2200000,2200000
4265,01/01/70,M*A*S*H,3500000,81600000,81600000
4855,01/01/70,Beyond the Valley of the Dolls,1000000,9000000,9000000
5027,3/26/1970,Woodstock,600000,34505110,34505110
4259,5/13/1970,The Ballad of Cable Hogue,3716946,5000000,3500000
4349,5/26/1970,Beneath the Planet of the Apes,3000000,17489009,17489009
2598,6/24/1970,Catch-22,18000000,24911670,24911670
2076,9/23/1970,Tora Tora Tora,25000000,29548291,29548291
3512,01/01/71,Fiddler on the Roof,9000000,80500000,80500000
3809,01/01/71,The Andromeda Strain,6500000,12376563,12376563
4477,01/01/71,Escape from the Planet of the Apes,2500000,12300000,12300000
5270,01/01/71,Sweet Sweetback's Baad Asssss Song,150000,15200000,15200000
4626,4/28/1971,Bananas,2000000,0,0
4379,6/30/1971,Willy Wonka & the Chocolate Factory,3000000,4000000,4000000
4526,09/10/71,The French Connection,2200000,41158757,41158757
3705,12/17/1971,Diamonds Are Forever,7200000,116000000,43800000
4686,01/01/72,Conquest of the Planet of the Apes,1700000,9700000,9700000
3709,3/15/1972,The Godfather,7000000,268500000,134966411
4275,6/21/1972,Frenzy,3500000,12600000,12600000
5356,6/30/1972,Deep Throat,25000,45000000,45000000
5314,8/30/1972,The Last House on the Left,87000,3100000,3100000
4239,09/11/72,1776,4000000,0,0
4548,11/08/72,Everything You Always Wanted to Know,2000000,18016290,18016290
4665,01/01/73,Battle for the Planet of the Apes,1800000,8800000,8800000
4106,5/23/1973,Pat Garrett and Billy the Kid,4638783,11000000,8000000
3714,6/27/1973,Live and Let Die,7000000,161800000,35400000
3926,8/22/1973,High Plains Drifter,5500000,15700000,15700000
4994,11/08/73,American Graffiti,777000,140000000,115000000
4547,12/17/1973,Sleeper,2000000,18344729,18344729
3921,12/25/1973,The Sting,5500000,159616327,159616327
3121,12/26/1973,The Exorcist,12000000,400214478,202347346
4458,01/01/74,Blazing Saddles,2600000,119500000,119500000
3720,3/29/1974,The Great Gatsby,7000000,26533200,26533200
4696,07/04/74,The Conversation,1600000,4420000,4420000
5280,10/18/1974,The Texas Chainsaw Massacre,140000,26572439,26572439
3038,11/12/74,The Godfather: Part II,13000000,57300000,57300000
5049,11/15/1974,Benji,500000,31559560,31559560
4442,12/15/1974,Young Frankenstein,2800000,86300000,86300000
2961,12/17/1974,Towering Inferno,14000000,139700000,116000000
4176,12/17/1974,The Front Page,4000000,15000000,15000000
3726,12/20/1974,The Man with the Golden Gun,7000000,97600000,21000000
3261,01/01/75,Barry Lyndon,11000000,20169934,20000000
5176,01/04/75,Death Race 2000,300000,0,0
3968,5/16/1975,The Return of the Pink Panther,5000000,41833347,41833347
3120,6/20/1975,Jaws,12000000,470700000,260000000
4791,9/26/1975,The Rocky Horror Picture Show,1200000,140556781,140510017
5125,10/05/75,Monty Python and the Holy Grail,400000,5028948,3427696
4344,10/06/75,Love and Death,3000000,20123742,20123742
4145,11/19/1975,One Flew Over the Cuckoo's Nest,4400000,108981275,108981275
3723,01/01/76,Logan's Run,7000000,25000000,25000000
4251,01/01/76,Network,3800000,23689877,23689877
4805,01/01/76,The Blue Bird,1200000,887000,887000
4146,6/25/1976,Silent Movie,4400000,36145695,36145695
4443,6/25/1976,The Omen,2800000,48570885,48570885
4844,08/02/76,Taxi Driver,1000000,28316211,28262574
4353,09/04/76,Family Plot,3000000,13200000,13200000
4025,11/03/76,Robin and Marian,5000000,8000000,8000000
4661,11/16/1976,Carrie,1800000,25878153,25878153
4840,11/21/1976,Rocky,1000000,225000000,117235147
2202,12/17/1976,King Kong,23000000,90614445,52614445
5051,01/01/77,Kingdom of the Spiders,500000,17000000,17000000
5297,01/01/77,Eraserhead,100000,7012524,7000000
3326,03/11/77,Pete’s Dragon,10000000,36000000,36000000
4165,4/20/1977,Annie Hall,4000000,38251425,38251425
3765,05/08/77,March or Die,7000000,1000000,1000000
3239,5/25/1977,Star Wars Ep. IV: A New Hope,11000000,786598007,460998007
1978,6/15/1977,A Bridge Too Far,26000000,50800000,50800000
2980,6/17/1977,Exorcist II: The Heretic,14000000,25011000,25011000
2989,6/22/1977,New York New York,14000000,13800000,13800000
2278,6/24/1977,Sorcerer,21600000,12000000,12000000
2969,7/13/1977,The Spy Who Loved Me,14000000,185400000,46800000
5028,10/08/77,The Kentucky Fried Movie,600000,20000000,15000000
2713,10/21/1977,Damnation Alley,17000000,0,0
2309,11/16/1977,Close Encounters of the Third Kind,20000000,337700000,166000000
4304,12/23/1977,High Anxiety,3400000,31063038,31063038
3009,01/01/78,Caravans,14000000,1000000,1000000
3165,01/01/78,The Boys from Brazil,12000000,19000000,19000000
4338,01/01/78,Coming Home,3000000,32653000,32653000
3260,4/13/1978,F.I.S.T,11000000,20388920,20388920
2318,6/16/1978,Jaws 2,20000000,208900376,102922376
3828,6/16/1978,Grease,6000000,387513770,181813770
2798,6/28/1978,Heaven Can Wait,15000000,98800000,98800000
4330,7/28/1978,National Lampoon's Animal House,3000000,141600000,141600000
4382,9/13/1978,Days of Heaven,3000000,3660880,3446749
5153,10/17/1978,Halloween,325000,70000000,47000000
2186,10/24/1978,The Wiz,24000000,13000000,13000000
912,12/15/1978,Superman,55000000,300200000,134218018
4026,12/22/1978,Force 10 from Navarone,5000000,7100000,7100000
2814,01/01/79,The Deer Hunter,15000000,50000000,50000000
3885,02/02/79,The First Great Train Robbery,6000000,391942,391942
4717,4/20/1979,Dawn of the Dead,1500000,55000000,5100000
3106,5/25/1979,The Prisoner of Zenda,12500000,7000000,7000000
3510,5/25/1979,Alien,9000000,203630630,80930630
3160,6/15/1979,Prophecy,12000000,22673340,22673340
3598,6/22/1979,The Muppet Movie,8000000,76657000,76657000
3604,6/22/1979,Escape from Alcatraz,8000000,43000000,43000000
1696,6/29/1979,Moonraker,31000000,210300000,70300000
5266,6/30/1979,Dolphin,170000,14000,14000
3573,07/11/79,The Rose,8500000,29200000,29200000
1521,07/12/79,Star Trek: The Motion Picture,35000000,139000000,82258456
1691,8/15/1979,Apocalypse Now,31500000,81250488,78800000
4173,8/17/1979,The Life of Brian,4000000,20008693,20008693
4449,10/17/1979,The Black Stallion,2700000,37799643,37799643
2759,10/19/1979,Meteor,16000000,8400000,8400000
1676,12/14/1979,1941,32000000,94875000,34175000
2361,12/21/1979,The Black Hole,20000000,35841901,35841901
1624,01/01/80,Lion of the Desert,35000000,1500000,1500000
3805,01/01/80,Dressed to Kill,6500000,31899000,31899000
4279,01/01/80,Terror Train,3500000,8000000,8000000
5144,01/01/80,Maniac,350000,10000000,10000000
4846,01/02/80,The Fog,1000000,21378361,21378361
1414,01/08/80,Raise the Titanic,40000000,7000000,7000000
3952,03/10/80,Somewhere in Time,5100000,9709597,9709597
3977,03/10/80,The Elephant Man,5000000,26010864,26010864
5229,3/21/1980,Mad Max,200000,99750000,8750000
4264,04/07/80,Airplane!,3500000,83453539,83453539
1573,05/12/80,Flash Gordon,35000000,27107960,27107960
3374,5/16/1980,The Long Riders,10000000,15198912,15198912
5132,5/16/1980,Home Movies,400000,89134,89134
2196,5/21/1980,Star Wars Ep. V: The Empire Strikes Back,23000000,534171960,290271960
2536,5/23/1980,The Shining,19000000,44391156,44017374
3929,06/06/80,Galaxina,5500000,4865000,4865000
2261,6/13/1980,The Island,22000000,15716828,15716828
1941,6/20/1980,The Blues Brothers,27000000,57229890,57229890
2490,6/20/1980,Can't Stop the Music,20000000,2000000,2000000
4115,6/20/1980,The Blue Lagoon,4500000,47923795,47923795
2805,07/03/80,Coal Miner's Daughter,15000000,67182787,67182787
3836,7/25/1980,Caddyshack,6000000,39846344,39846344
5044,09/05/80,Friday the 13th,550000,59754601,39754601
3833,9/19/1980,Ordinary People,6000000,52302978,52302978
5301,10/05/80,Penitentiary,100000,287000,287000
2804,10/10/80,Private Benjamin,15000000,69847348,69847348
2600,11/14/1980,Raging Bull,18000000,23380203,23380203
1238,11/19/1980,Heaven's Gate,44000000,3484523,3484331
2340,12/12/80,Popeye,20000000,49823037,49823037
2707,01/01/81,Roar,17000000,2110050,2110050
5185,01/05/81,Graduation Day,250000,23894000,23894000
3177,3/20/1981,The Postman Always Rings Twice,12000000,44200000,12200000
1642,04/12/81,Reds,33500000,50000000,50000000
4784,4/30/1981,Friday the 13th Part 2,1250000,21722776,21722776
2617,5/22/1981,The Legend of the Lone Ranger,18000000,13400000,13400000
3804,5/22/1981,The Four Seasons,6500000,42488161,42488161
3143,06/11/81,Time Bandits,12000000,37400000,37400000
969,6/19/1981,Superman II,54000000,108185706,108185706
1896,6/26/1981,For Your Eyes Only,28000000,195300000,54800000
2625,6/26/1981,Dragonslayer,18000000,6000000,6000000
3306,6/26/1981,Stripes,10000000,85300000,85300000
3504,07/08/81,Heavy Metal,9300000,19571091,19571091
2615,7/24/1981,Blow Out,18000000,13747234,13747234
2409,7/31/1981,Under the Rainbow,20000000,18826490,18826490
4370,8/28/1981,Gallipoli,3000000,5732587,5732587
2971,09/12/81,Taps,14000000,35856053,35856053
3992,9/18/1981,Mommie Dearest,5000000,25032000,19032000
3922,9/25/1981,Chariots of Fire,5500000,57467731,57159946
4001,10/04/81,Nighthawks,5000000,19600000,14600000
4848,10/04/81,The Howling,1000000,17985000,17985000
3840,10/07/81,Escape from New York,6000000,25244700,25244700
4474,10/30/1981,Halloween II,2500000,25533818,25533818
3427,11/02/81,Sphinx,10000000,11400000,2000000
3201,11/13/1981,The Pursuit of D.B. Cooper,12000000,2104164,2104164
2306,12/06/81,Raiders of the Lost Ark,20000000,389925971,248159971
2843,12/06/81,Clash of the Titans,15000000,44400000,30000000
3256,12/06/81,History of the World: Part I,11000000,31672000,31672000
3409,12/18/1981,Heartbeeps,10000000,6000000,6000000
3612,12/25/1981,Modern Problems,8000000,24474312,24474312
3024,1/29/1982,The Border,13500000,6118683,6118683
3105,02/04/82,Cat People,12500000,21000000,7000000
4011,02/04/82,Diner,5000000,12592907,12592907
3988,03/11/82,The Man From Snowy River,5000000,20659423,20659423
4161,3/19/1982,Porky's,4000000,109492484,109492484
3127,04/06/82,Star Trek II: The Wrath of Khan,12000000,95800000,78912963
3290,04/06/82,Poltergeist,10700000,121706019,74706019
2355,5/14/1982,Conan the Barbarian,20000000,79114085,38264085
4544,5/21/1982,Mad Max 2: The Road Warrior,2000000,24600832,24600832
2286,6/18/1982,Firefox,21000000,45785720,45785720
1908,6/25/1982,Blade Runner,28000000,33139618,32656328
2629,6/25/1982,Megaforce,18000000,5675599,5675599
2304,7/23/1982,The Best Little Whorehouse in Texas,20500000,69701637,69701637
2240,08/12/82,Gandhi,22000000,127767889,52767889
2728,08/12/82,The Verdict,16000000,53977250,53977250
4116,8/13/1982,Fast Times at Ridgemont High,4500000,27092880,27092880
4525,8/13/1982,Friday the 13th Part 3,2250000,36690067,36690067
4017,8/20/1982,The Beastmaster,5000000,10751126,10751126
4318,8/20/1982,Class of 1984,3250000,6965361,6965361
4041,8/27/1982,Jekyll and Hyde... Together Again,5000000,3707583,3707583
2688,09/07/82,Tron,17000000,26918576,26918576
1158,9/17/1982,Inchon,46000000,4408636,4408636
3179,10/02/82,Das Boot,12000000,84970337,11487676
3616,10/11/82,Creepshow,8000000,20036244,20036244
2968,10/22/1982,First Blood,14000000,125212904,47212904
4475,10/22/1982,Halloween 3: Season of the Witch,2500000,14400000,14400000
3294,11/06/82,ET: The Extra-Terrestrial,10500000,792965326,435110554
4808,11/19/1982,Q,1200000,255000,255000
3099,12/02/82,La Guerre du feu,12500000,20959585,20959585
2790,12/17/1982,Tootsie,15000000,177200000,177200000
5131,01/01/83,E tu vivrai nel terrore - L'aldilà,400000,126387,126387
3300,2/18/1983,Lovesick,10100000,10143618,10143618
3129,03/06/83,WarGames,12000000,74433837,74433837
3350,3/25/1983,The Outsiders,10000000,25697647,25697647
3903,04/02/83,Videodrome,5952000,2120439,2120439
3711,4/15/1983,Flashdance,7000000,201463574,90463574
4012,4/15/1983,Lone Wolf McQuade,5000000,12232628,12232628
5142,4/15/1983,The Evil Dead,375000,29400000,2400000
1657,5/25/1983,Star Wars Ep. VI: Return of the Jedi,32500000,572705079,309205079
1437,6/17/1983,Superman III,39000000,59950623,59950623
3342,6/24/1983,Twilight Zone: The Movie,10000000,29500000,29500000
1493,07/10/83,Never Say Never Again,36000000,160000000,55500000
2808,7/29/1983,National Lampoon’s Vacation,15000000,61400000,61400000
3763,08/04/83,Losin' It,7000000,1246141,1246141
4767,8/19/1983,The Ballad of Gregorio Cortez,1305000,909000,909000
2048,09/12/83,Scarface,25000000,44942821,44942821
2896,9/30/1983,Brainstorm,15000000,8921050,8921050
1929,10/06/83,Octopussy,27500000,187500000,67900000
1949,10/21/1983,The Right Stuff,27000000,21500000,21500000
3357,10/21/1983,The Dead Zone,10000000,20766000,20766000
3648,10/28/1983,The Wicked Lady,8000000,589308,589308
3140,11/18/1983,Yentl,12000000,39012241,39012241
4317,11/18/1983,A Christmas Story,3250000,20605209,20605209
1841,01/06/84,Once Upon a Time in America,30000000,5564014,5321508
2570,01/06/84,Star Trek III: The Search for Spock,18000000,87000000,76471046
4722,02/03/84,Repo Man,1500000,2300000,2300000
3595,2/17/1984,Footloose,8200000,80000000,80000000
3529,3/16/1984,The Ice Pirates,9000000,13075390,13075390
4113,3/23/1984,Police Academy,4500000,81198894,81198894
4459,4/13/1984,Friday the 13th Part IV: The Final Chapter,2600000,32980880,32980880
5045,4/27/1984,Love Letters,550000,5269990,5269990
2788,05/12/84,Beverly Hills Cop,15000000,316300000,234760478
1882,5/23/1984,Indiana Jones and the Temple of Doom,28000000,333080271,179880271
3597,6/22/1984,The Karate Kid,8000000,90815558,90815558
2596,6/29/1984,Conan the Destroyer,18000000,26400000,26400000
1950,7/20/1984,Die Unendliche Geschichte,27000000,21300000,21300000
1704,08/06/84,Ghostbusters,30000000,295212467,242212467
3240,08/06/84,Gremlins,11000000,148168459,148168459
2133,8/17/1984,Sheena,25000000,5778353,5778353
4786,8/31/1984,C.H.U.D.,1250000,4700000,4700000
3599,09/03/84,Splash,8000000,62599495,62599495
3686,09/03/84,The Hotel New Hampshire,7500000,5142858,5142858
4662,09/11/84,A Nightmare on Elm Street,1800000,25504513,25504513
2581,9/19/1984,Amadeus,18000000,51973029,51973029
3392,10/26/1984,Body Double,10000000,8801940,8801940
3820,10/26/1984,The Terminator,6400000,78019031,38019031
2871,11/05/84,Firestarter,15000000,15136870,15136870
1139,12/14/1984,The Cotton Club,48000000,25928721,25928721
1204,12/14/1984,Dune,45000000,27447471,27447471
1933,12/14/1984,A Passage to India,27500000,27187653,27187653
5109,12/31/1984,The Toxic Avenger,475000,0,0
4342,01/11/85,A Nightmare On Elm Street Part 2: Freddy's Revenge,3000000,21163999,21163999
4724,1/18/1985,Blood Simple,1500000,2730877,1690913
2527,03/07/85,Back to the Future,19000000,385524862,212259762
4775,3/15/1985,Def-Con 4,1300000,210904,210904
3333,3/22/1985,The Last Dragon,10000000,33000000,33000000
4527,3/22/1985,Friday the 13th Part V: A New Beginning,2200000,21930418,21930418
3328,04/10/85,Commando,10000000,35073978,35073978
2604,04/12/85,Young Sherlock Holmes,18000000,19739000,19739000
1233,5/22/1985,Rambo: First Blood Part II,44000000,300400000,150415432
1762,5/24/1985,A View to a Kill,30000000,152627960,50327960
4592,06/11/85,Subway,2000000,1663296,390659
1955,6/21/1985,Return to Oz,27000000,10618813,10618813
2117,6/21/1985,Lifeforce,25000000,11603545,11603545
2654,6/28/1985,Red Sonja,17900000,6905861,6905861
3788,6/28/1985,Pale Rider,6900000,41410568,41410568
4283,6/30/1985,Day of the Dead,3500000,34004262,5804262
3132,08/02/85,Witness,12000000,65532576,65532576
4178,8/16/1985,The Return of the Living Dead,4000000,14237880,14237880
3365,9/27/1985,Invasion U.S.A.,10000000,17536256,17536256
1986,10/07/85,Silverado,26000000,33200000,33200000
3325,10/07/85,Mad Max Beyond Thunderdome,10000000,36230219,36230219
4356,10/25/1985,Krush Groove,3000000,11052713,11052713
3737,11/10/85,Silver Bullet,7000000,10803211,10803211
2410,12/04/85,Ladyhawke,20000000,18400000,18400000
1695,12/18/1985,Out of Africa,31000000,258210860,79096868
2799,12/18/1985,The Color Purple,15000000,93589701,93589701
2890,12/18/1985,Brazil,15000000,9930649,9929135
5136,01/04/86,My Beautiful Laundrette,400000,0,0
1424,01/07/86,Pirates,40000000,6341825,1641825
2121,01/07/86,Big Trouble in Little China,25000000,11100000,11100000
1822,01/08/86,Howard the Duck,30000000,16295774,16295774
4345,01/08/86,Friday the 13th Part VI: Jason Lives,3000000,19472057,19472057
2921,1/17/1986,The Clan of the Cave Bear,15000000,1953732,1953732
2623,2/21/1986,Nine 1/2 Weeks,18000000,6734844,6734844
1623,03/10/86,Playing for Keeps,35000000,2000000,2000000
4010,3/27/1986,April Fool's Day,5000000,12947763,12947763
2102,4/18/1986,Legend,25000000,23506237,15502112
4125,4/23/1986,Salvador,4500000,1500000,1500000
2641,4/25/1986,8 Million Ways to Die,18000000,1305114,1305114
2789,5/16/1986,Top Gun,15000000,356800601,179800601
3193,06/06/86,Invaders from Mars,12000000,4984663,4884663
1340,6/18/1986,Legal Eagles,40000000,49851591,49851591
2760,07/03/86,Highlander,16000000,12900000,5900000
4343,07/03/86,A Room with a View,3000000,20966644,20966644
2667,7/18/1986,Aliens,17000000,183316455,85160248
3602,08/08/86,Stand by Me,8000000,52287414,52287414
5261,08/08/86,She's Gotta Have It,175000,7137502,7137502
4101,8/22/1986,The Texas Chainsaw Massacre 2,4700000,8025872,8025872
2705,8/29/1986,Shanghai Surprise,17000000,2315000,2315000
3564,9/26/1986,Crocodile Dundee,8800000,328203506,174803506
2586,10/10/86,Peggy Sue Got Married,18000000,41382841,41382841
3314,10/17/1986,The Color of Money,10000000,52293000,52293000
2164,11/26/1986,Star Trek IV: The Voyage Home,24000000,133000000,109713132
3126,12/12/86,The Golden Child,12000000,79817937,79817937
1779,12/19/1986,Little Shop of Horrors,30000000,38747385,38747385
3829,12/19/1986,Platoon,6000000,137963328,137963328
4559,12/31/1986,Witchboard,2000000,7369373,7369373
4461,01/01/87,Maurice,2600000,3147950,3147950
5145,01/01/87,American Ninja 2: The Confrontation,350000,4000000,4000000
5298,01/03/87,Hollywood Shuffle,100000,5228617,5228617
3423,01/05/87,Malone,10000000,3000000,3000000
4272,01/05/87,Creepshow 2,3500000,14000000,14000000
2751,1/30/1987,Radio Days,16000000,14792779,14792779
3965,2/27/1987,A Nightmare On Elm Street 3: Dream Warriors,5000000,44793222,44793222
