rank,release_date,title,production_budget,worlwide_gross,domestic_gross
1445,9/27/2002,Sweet Home Alabama,38000000,182365114,127214072
2299,9/27/2002,Moonlight Mile,21000000,6830957,6830957
2785,9/27/2002,Wasabi,15300000,7000000,81525
4952,9/27/2002,Charly,950000,814666,814666
3049,10/05/02,The New Guy,13000000,28972187,28972187
5240,10/05/02,The Business of Fancy Dancing,200000,174682,174682
5241,10/05/02,Hybrid,200000,162605,162605
1125,10/18/2002,The Ring,48000000,248218486,129094024
1959,10/18/2002,Formula 51,27000000,5204007,5204007
2125,10/18/2002,Abandon,25000000,12219367,10719367
3756,10/18/2002,Auto Focus,7000000,2703821,2062066
4369,10/18/2002,Real Women Have Curves,3000000,7777790,5853194
2377,10/25/2002,Ghost Ship,20000000,68349884,30113491
2938,10/25/2002,All the Queen's Men,15000000,22723,22723
3155,10/25/2002,Frida,12000000,56131239,25885000
3551,10/25/2002,All or Nothing,9000000,184255,184255
3962,10/25/2002,Jackass: The Movie,5000000,79282312,64282312
4977,10/25/2002,Time Changer,825000,1500711,1500711
2588,11/01/02,Orange County,18000000,43308707,41059716
2095,11/10/02,Punch-Drunk Love,25000000,24591031,17791031
2292,11/10/02,The Transporter,21000000,43928932,25296447
2748,11/10/02,White Oleander,16000000,21657770,16357770
2863,11/10/02,Tuck Everlasting,15000000,19344615,19161999
2883,11/10/02,Knockaround Guys,15000000,12419700,11660180
3445,11/10/02,Swept Away,10000000,598645,598645
3608,11/10/02,Brown Sugar,8000000,28315272,27362712
4194,11/10/02,The Rules of Attraction,4000000,11799060,6525762
4341,11/10/02,Bowling for Columbine,3000000,58240487,21576018
326,11/15/2002,Harry Potter and the Chamber of Secrets,100000000,878979634,261987880
2101,11/15/2002,Half Past Dead,25000000,19233280,15567860
2781,11/15/2002,Ararat,15500000,1693000,1693000
4668,11/15/2002,El crimen de padre Amaro,1800000,5719000,5719000
5001,11/15/2002,Interview with the Assassin,750000,47329,47329
5149,11/15/2002,Revolution#9,350000,9118,9118
180,11/22/2002,Die Another Day,142000000,431942139,160942139
2439,11/22/2002,The Quiet American,20000000,26348203,12987647
3100,11/22/2002,The Emperor's Club,12500000,16193713,14060950
3331,11/22/2002,Friday After Next,10000000,33526835,33253609
358,11/27/2002,Treasure Planet,100000000,91800000,38120554
1148,11/27/2002,Solaris,47000000,14970038,14970038
1418,11/27/2002,Extreme Ops,40000000,12624471,4835968
2695,11/27/2002,Wes Craven Presents: They,17000000,16140842,12840842
3747,11/29/2002,Rabbit-Proof Fence,7000000,16866928,6199600
1180,12/04/02,Changing Lanes,45000000,66790248,66790248
1243,12/04/02,The Sweetest Thing,43000000,63078756,24430272
3267,12/04/02,Frailty,11000000,19947280,13110448
505,12/07/02,Road to Perdition,80000000,183354514,104054514
2840,12/07/02,Halloween: Resurrection,15000000,37659652,30259652
3096,12/07/02,Crocodile Hunter: Collision Course,12500000,33436931,28436931
5066,12/07/02,Never Again,500000,308793,307631
837,12/13/2002,Star Trek: Nemesis,60000000,67312826,43254409
921,12/13/2002,Maid in Manhattan,55000000,163838217,93932896
1737,12/13/2002,About Schmidt,30000000,107054484,65005217
2335,12/13/2002,Drumline,20000000,56398162,56398162
4923,12/13/2002,The Jimmy Show,1000000,703,703
384,12/18/2002,The Lord of the Rings: The Two Towers,94000000,934699645,342548984
3098,12/19/2002,Antwone Fisher,12500000,23367586,21078145
4118,12/19/2002,25th Hour,4500000,25344490,13084595
369,12/20/2002,Gangs of New York,97000000,183124621,77730500
791,12/20/2002,Two Weeks Notice,60000000,199043309,93354918
2055,12/20/2002,The Wild Thornberrys Movie,25000000,60694737,40108697
3684,12/20/2002,Narc,7500000,11843260,10465659
3886,12/20/2002,Morvern Callar,6000000,267194,267194
987,12/25/2002,Catch Me if You Can,52000000,355612291,164606800
1228,12/25/2002,Pinocchio,45000000,31681811,3681811
1564,12/27/2002,The Pianist,35000000,111854182,32519322
1706,12/27/2002,Chicago,30000000,306771047,170687518
2052,12/27/2002,The Hours,25000000,97030468,41675994
3433,12/27/2002,Nicholas Nickleby,10000000,1562800,1562800
4230,12/27/2002,Sonny,4000000,17639,17639
4899,12/30/2002,Love Lisa,1000000,213137,213137
